nom,editeur,description,image
Agartha,404 Editions,"Rolhnir a passé sa vie à explorer des mondes souterrains. Il vous a laissé un héritage inestimable : les cartes d’Agartha. Vous êtes ses descendants, prêts à reprendre le flambeau et à explorer le monde. Pour retrouver ses cartes secrètes, vous devrez marcher sur les traces de votre ancêtre et parcourir des terres inconnues en quête d’informations.",https://cdn2.philibertnet.com/537696-thickbox_default/agartha.jpg
Gyojin Fighter Sushido,404 Editions,Deux silhouettes se font face : leurs regards se croisent. Elles bondissent pour faire chanter leurs lames au rythme des tambours de guerre. Un combat s’engage dans l’Arène : la victoire se fera par K.O !,https://cdn2.philibertnet.com/532996-thickbox_default/gyojin-fighter-sushido.jpg
Osirium,404 Editions,"Osirium est un jeu de stratégie et de placement de 2 à 4 joueurs où il faut réaliser des combos d’Amulettes sur un plateau, pour accomplir des Rituels (simples ou avancés) ainsi qu’un objectif caché distribué en début de partie, et ce afin d’honorer notre Dieu.",https://cdn2.philibertnet.com/516368-large_default/osirium.jpg
Vol de Nuit,404 Editions,"Dans ce jeu coopératif et familial inspiré du roman d’Antoine de Saint-Exupéry paru en 1931, les joueurs incarnent une équipe de pilotes de l’Aéropostale, chargés de livrer le courrier venu de Patagonie. Cependant, de nombreux dangers les guettent : tempête, vent, brume et autres perturbations agitent le ciel. Leur seul moyen de gagner : communiquer et coopérer, garder espoir et surtout arriver vivants.",https://cdn2.philibertnet.com/505464-large_default/vol-de-nuit.jpg
Living Forest + ext Kodama,Ludonaute,"Dans cette extension de Living Forest, le terrible Onibi est plus dangereux que jamais... Il a pénétré le Cercle des Esprits et attaque férocement l’Arbre sacré. Mais, dans cette bataille, les Esprits de la nature reçoivent l’aide des Kodama, des petits êtres de lumière envoyés par Sanki.",https://cdn1.philibertnet.com/569180-large_default/living-forest-kodama.jpg
Colt Express + Convoyeurs,Ludonaute,"Quand le train de Colt Express croise celui de l’Union Pacific qui transporte de précieux documents top secrets, nos célèbres bandits n’hésitent pas une seconde… Ils sautent d’un train à l’autre et jouent en équipe pour tenter de les dérober. Mais attention, les shotguns rodent et la Gatling sur le toit ne laisse rien présager de bon",https://cdn3.philibertnet.com/554071-large_default/colt-express-convoyeurs-train-blinde.jpg
Nimalia,La Boite de Jeu,"Créez la plus belle réserve animalière, où tous les animaux vivent en harmonie. Disposez vos cartes animaux en respectant les objectifs successifs, différents à chaque partie. Ils vous feront gagner des points à chaque manche. Saurez-vous bâtir la meilleure des réserves ?",https://cdn3.philibertnet.com/571519-large_default/nimalia.jpg
Little Secret,ATM Gaming,"Le but de Little Secret est d’éliminer les joueurs qui possèdent un mot de passe différent du sien. C'est un jeu intuitif de bluff, d’imagination et d’association de mots. Idéal pour des soirées entre amis ou en famille !",https://cdn1.philibertnet.com/547730-large_default/little-secret.jpg
Caral,Blue Cocker Games,"Caral, plus vieille ville des Amériques (4500 ans), a besoin de votre famille de Caralis et de vos troupeaux d’alpagas pour aider le grand prêtre à construire au moins 7 pyramides et la grande pyramide où se déroule la cérémonie de sacrifice annuelle.",https://cdn3.philibertnet.com/552607-large_default/caral.jpg
District Noir,Spiral édition,District Noir est un jeu avec de la prise de risque et du bluff.En plus de faire les bons choix il faudra aussi essayer d'amener son adversaire à en faire de mauvais.,https://cdn2.philibertnet.com/557209-large_default/district-noir.jpg
Mimetix,Blackrock Games,"Le jeu est simple : mimer et faire deviner le plus d'expressions possibles à votre équipe dans un temps imparti. Extrêmement drôle, convient à tous les types de joueurs (jeunes, ados, adultes, parents, famille, amis) et à toutes les situations (apéros, grandes tablées, vacances..), facile à transporter, culturel (permet de mieux connaître et maitriser la langue française).",https://cdn3.philibertnet.com/447115-large_default/mimetix.jpg
La Bête,Multivers,La Bête est un jeu asymétrique opposant un joueur endossant le rôle de la Bête du Gévaudan à un ou plusieurs joueurs incarnant les Enquêteurs historiques dans la Lozère de la France du XVIIIème siècle.,https://cdn2.philibertnet.com/551507-large_default/la-bete.jpg
The Lost Code,Ludistri,"The Lost Code est un jeu de déduction intelligent, de 2 à 4 joueurs, dans lequel vous devrez découvrir les numéros qui s'affichent sur votre écran en ne voyant que les numéros des autres joueurs !",https://cdn2.philibertnet.com/549889-large_default/the-lost-code.jpg
Turing Machine,Scorpion Masqué,"Turing Machine est un jeu de déduction compétitif fascinant. C’est une proposition unique qui offre d’interroger un proto-ordinateur fonctionnant sans électricité ni électronique, qui ouvre la voie à une nouvelle génération de jeux de déduction. Le but ? Trouver le code secret avant les autres joueurs, en interrogeant astucieusement la machine. Avec Turing Machine, vous utiliserez un ordinateur mécanique au matériel original composé de cartes perforées.",https://cdn3.philibertnet.com/551298-large_default/turing-machine.jpg
Clefs magique,Blackrock Games,Allons dans la forêt des clés pour retrouver la mémoire du roi ! Retrouvez les magnifiques souvenirs du roi scellés dans le coffre au trésor. La forêt des clés cache les vraies et les fausses clés ! Les aventures vont maintenant commencer !,https://blackrockgames.fr/upload/cache/id:bkEZEkCLSyAAAAAAAARl-gw480h320.jpeg
Settlement,Blackrock Games,"Vous êtes le chef des villageois qui ont découvert de nouvelles terres. À l'aide d'artefacts puissants, vous explorerez des terrains, chasserez des monstres, construirez des bâtiments et créerez des fortifications. Collectez des diamants et de l'or et accueillez de puissants héros pour faire de votre colonie la plus célèbre !",https://cdn1.philibertnet.com/555375-large_default/settlement.jpg
Toupies voyageuses,Buzzy Games,"Le jeu sensationnel de parcours de toupie ! Lance ta toupie à toute vitesse grâce à son propulseur. Voyage à travers 8 mondes merveilleux pour réaliser tes missions : saute les obstacles, touche les cibles et valide ta progression avec des trophées autocollants. Aussi fun en mode solo qu’en mode coopératif.",https://cdn2.philibertnet.com/571465-large_default/la-toupie-voyageuse.jpg
Orichalque,Catch Up Games,"La prophétie de l’Atlantide se réalise, le cataclysme arrive ! Vous avez été envoyé à la recherche d’une nouvelle terre d’accueil. Explorez l’île, exploitez ses ressources et débarrassez là des monstres qui l’infestent pour préparer le grand exil !",https://cdn1.philibertnet.com/552815-large_default/orichalque.jpg
After Us,Catch Up Games,"En 2083, l’humanité s’est éteinte depuis plusieurs décennies. Dans ce monde délaissé, les singes se regroupent en tribus et apprivoisent les objets humains. À la tête d’une de ces tribus, vous devez la guider sur la voie de l’intelligence collective.",https://cdn2.philibertnet.com/570326-large_default/after-us.jpg
À la manière d'Arcimboldo,Bankiiiz Editions,"Arcimboldo et ses élèves doivent chacun créer une « œuvre » à l’aide des éléments de composition magnétiques, fruits, légumes, fleurs et céréales. Ils devront réaliser la meilleure interprétation d’un titre, composé d’un mot et d’un complément, sans contrainte de temps, puis voter pour leur préférée.",https://cdn1.philibertnet.com/530053-large_default/a-la-maniere-d-arcimboldo.jpg
Gamme Logic - Hôtel,Bankiiiz Editions,"Gamme Logic - Hôtel est un jeu solo qui vous propose de relever 60 défis de logique, à difficulté progressive.",https://cdn3.philibertnet.com/542778-large_default/gamme-logic-hotel.jpg
Gamme Logic - Birds,Bankiiiz Editions,"Gamme Logic - Birds est un jeu solo qui vous propose de relever 60 défis de logique, à difficulté progressive.",https://cdn3.philibertnet.com/542777-large_default/gamme-logic-birds.jpg
That's Not a Hat,Ravensburger,"That's not a Hat est un jeu familial qui fera rire toutes les générations de la famille. Mémorisez les cadeaux en jeu et offrez-les vous… Mais attention vos voisins peuvent refuser votre cadeau et vous le renvoyer. Si vous vous ne souvenez plus du cadeau que vous offrez, bluffez bien ! That's not a hat est un jeu dans lequel vous allez devoir retenir de plus en plus de carte… Si vous n'y parvenez pas soyez convaincant en bluffant vos voisins !",https://cdn1.philibertnet.com/565875-large_default/that-s-not-a-hat.jpg
Mindbug,Iello,"Dans Mindbug, vous invoquez des créatures hybrides et les envoyez au combat contre votre adversaire - mais lorsque vous invoquez une créature, l'adversaire peut utiliser un de ses Mindbugs pour en prendre le contrôle. Surpassez votre adversaire dans un duel tactique fascinant dans lequel avoir les meilleures cartes et les jouer au mauvais moment peut vous être fatal.",https://cdn1.philibertnet.com/570456-large_default/mindbug.jpg
Cheese Master,Iello,"Le Fromage vient d'être servi ! La cuisine est calme. Trop calme. Tout à coup c’est le drame : des morceaux de fromage tombent de la table, et voilà que les souris se précipitent à l’assaut ! Le chat, qui attendait patiemment ce moment, sort alors ses griffes et bondit sur les rongeurs, mais il ne prend pas garde au chien, qui surgit la gueule grande ouverte… Tout ce joli petit monde se poursuit et se chamaille, jusqu’à ce que le tavernier, excédé, ne frappe sur une casserole pour disperser les voleurs. Mais au fait, il y en avait combien, des morceaux de fromage ?   Dans ce jeu d’observation et de rapidité, les joueurs vont devoir déduire le nombre de fromages restants après chaque lancer de dés. L'un des joueurs lance les dés au centre de la table. Chaque joueur se met ensuite à compter le nombre de fromages, suivant le résultat des dés ! Un tableau bien spécial appliquera des effets en fonction des faces de dés tombées lors du lancé. Dès que les joueurs pensent avoir le bon nombre d",https://iello.fr/wp-content/uploads/2022/12/Cheese-Master_Mockup_FR_Reversed_Light-740x969.jpg
Starship Captains,Iello,"Prenez le commandement de votre équipage pour devenir le meilleur capitaine de la galaxie ! Bienvenue à bord et félicitations pour la promotion ! Votre 'nouveau' vaisseau est prêt à embarquer pour son premier grand voyage. Il suffit de gratter un peu la rouille et tout ira bien. Et cet équipage ? Ils ont peut-être l'air un peu verts sur les bords, mais c'est votre équipage maintenant. rendez-nous fiers. Les étoiles vous appellent, et l'aventure vous attend !",https://cdn3.philibertnet.com/567009-large_default/starship-captains.jpg
Piège obscur,Iello,"Piège Obscur est un jeu de placement de tuiles horrifique, entièrement coopératif, qui piège 1 à 5 âmes perdues dans un labyrinthe surnaturel de ténèbres éternelles.",https://cdn1.philibertnet.com/550488-large_default/piege-obscur.jpg
L'Année des 5 Empereurs,Game Flow,"Faites-vous reconnaître comme le seul et légitime Empereur de Rome ! Vous êtes des hauts dignitaires romains et vous allez vous affronter pour devenir le seul et unique empereur de Rome. Préparez votre ascension au pouvoir en achetant des cartes, pour construire votre réseau d’influence (deck). Choisissez le moment opportun pour vous déclarer empereur. Déployez alors vos légions, pour confronter les autres prétendants et gagner des objectifs. Mais attention, car la plupart des objectifs pourront vous être volés en cours de partie. Le premier prétendant à contrôler 4 objectifs en même temps deviendra l’unique empereur de Rome…",https://www.espritjeu.com/upload/image/l-annee-des-5-empereurs-p-image-82250-grande.jpg
