nom,editeur,description,image
Caldera Park,Super Meeple,"Votre tâche consiste à regrouper les animaux de la même espèce dans des familles aussi grandes que possible. Mais les grandes familles ne sont que la moitié de la bataille : pour marquer beaucoup de points, elles doivent aussi avoir accès à des points d'eau et éviter le mauvais temps.",https://cdn3.philibertnet.com/570009-large_default/caldera-park.jpg
Astra,Super Meeple,"Loin au-dessus de vos têtes, de nombreuses constellations vous attendent parmi la voûte céleste. Repérez une majorité d’étoiles pour bénéficier de bonus uniques, ou essayez de découvrir des constellations inconnues pour récupérer leur pouvoir !",https://cdn3.philibertnet.com/566913-large_default/astra.jpg
Paradice,Zacatrus,"Paradice, de Sergio Ortiz, est un jeu de fête foraine aussi familial que compétitif ! Vous devez compléter vos cartes stands avec les bons dés (que vous choisirez au distributeur ou obtiendrez à la roue de la fortune). Optimisez vos chances, choisissez vos objectifs et tentez de remporter les bonus de majorités, utilisez vos pouvoirs au bon moment, anticipez la fin de partie, gagnez des pochettes surprises ... Serez-vous le « Master of Paradice » ?",https://cdn2.philibertnet.com/560949-large_default/paradice.jpg
Lovecraft,Zacatrus,Aventure Z Lovecraft est un jeu narratif pour une ou deux personnes rentrant dans la peau d'enquêteurs des années 20 en charge de résoudre une affaire.,https://cdn1.philibertnet.com/568900-large_default/aventure-z-vol1-lovecraft.jpg
Smart 10,Puzzle Michèle Wilson - PMWD ,"Smart 10 est un jeu de quiz où chaque question à 10 réponses possibles, à vous de trouver la bonne ! Dans ce jeu nomade, tout est inclus dans le boîtier. Pour gagner, il vous faudra un peu de connaissances et une bonne auto-évaluation.",https://cdn1.philibertnet.com/553119-large_default/smart-10.jpg
Pentago,Mindtwister,"Pentago est un jeu de stratégie unique et rapide, à la fois simple et sophistiqué. Le but du jeu est d'aligner 5 billes de sa couleur n'importe où sur le plateau.",https://cdn1.philibertnet.com/549316-large_default/pentago-mecanic.jpg
Happy Bee,Helvetiq,"Dans Happy Bee, vous jouez des cartes abeilles et passez les autres à vos adversaires. Votre but : polliniser le plus grand nombre de fleurs. Choisissez bien les cartes abeilles que vous souhaitez jouer pour remporter la majorité et ainsi récupérer des fleurs. Mais prenez garde, vous n’êtes pas le ou la seul·e à vouloir récupérer les fleurs qui rapportent le plus de points de victoire.",https://www.espritjeu.com/upload/image/happy-bee-p-image-84867-grande.jpg
Fun Facts,Repos Prod,"Ce jeu d’ambiance simple et amusant vous promet des fous rires et des anecdotes insolites sur vos proches... et sur vous-même ! C’est également le jeu idéal pour apprendre à se connaitre dans une atmosphère bienveillante, en famille comme entre amis.",https://cdn3.philibertnet.com/552222-large_default/fun-facts.jpg
Fun Facts,Repos Prod,"Ce jeu d’ambiance simple et amusant vous promet des fous rires et des anecdotes insolites sur vos proches... et sur vous-même ! C’est également le jeu idéal pour apprendre à se connaitre dans une atmosphère bienveillante, en famille comme entre amis.",https://cdn3.philibertnet.com/552222-large_default/fun-facts.jpg
7 Wonders (ext. Edifice),Repos Prod,"Dans 7 Wonders Nouvelle Edition - Edifice, la nouvelle extension de 7 Wonders, les joueurs vont devoir relever ensemble un défi : bâtir de majestueux édifices. Ils en tireront les bénéfices à sa construction ou en subiront les préjudices en cas d’échec. Edifices est idéal pour bien débuter les extensions de 7 Wonders. Une extension facile à prendre en main pour augmenter son expérience de jeu sans rajouter du temps de partie. Plus d’interaction entre les joueurs avec la construction d’édifices communs. Des figurines pour représenter les trois âges du jeu. Deux nouvelles merveilles : Ur et Carthage. (Nécessite le jeu de base pour être joué.)",https://cdn1.philibertnet.com/568132-large_default/7-wonders-nouvelle-edition-edifice.jpg
Heat,Days of Wonder,Heat est un jeu de course basé sur une gestion de main de cartes simple et intuitive qui vous place dans le siège d'un pilote des courses automobiles des années 1960. À vous de garder votre moteur suffisamment froid pour remporter le Grand Prix.,https://cdn1.philibertnet.com/548640-large_default/heat.jpg
Heat,Days of Wonder,Heat est un jeu de course basé sur une gestion de main de cartes simple et intuitive qui vous place dans le siège d'un pilote des courses automobiles des années 1960. À vous de garder votre moteur suffisamment froid pour remporter le Grand Prix.,https://cdn1.philibertnet.com/548640-large_default/heat.jpg
Splendor Duel,Space Cowboy,"Découvrez de nouveaux rebondissements et des opportunités stratégiques dérivés de Splendor, le jeu original à succès. Acquérez des cartes aux pouvoirs impressionnants, profitez de privilèges spéciaux et battez-vous pour l'accès limité aux perles. Splendor Duel est un jeu indépendant à deux joueurs basé sur Splendor qui conserve certains des principaux mécanismes de jeu de ce dernier, tout en étant un peu plus complexe, dynamique, interactif, riche, tendu et méchant. Le jeu comporte un plateau principal partagé par les deux adversaires, des pouvoirs de cartes et trois conditions de victoire.",https://cdn1.philibertnet.com/551503-large_default/splendor-duel.jpg
Dixit,Libellud,"Dixit, un jeu de communication. Le principe de Dixit est simple : les joueurs doivent deviner et faire deviner des cartes illustrées. À chaque tour, un joueur devient le conteur qui choisit une carte et la décrit avec une phase, un mot ou un son. Mais attention, pour marquer des points, la carte doit être trouvée seulement par une partie des joueurs. Le message doit donc être à la fois clair et crypté. Un certain mystère doit planer. À vous d'être inventif et malin ! ",https://www.libellud.com/wp-content/uploads/2021/12/caroussel-boite-dixit-mobile-1.png
Stella - Dixit Universe,Libellud,"Stella est un jeu compétitif d’interprétation d’images qui explore une nouvelle approche de l’univers Dixit. À partir d’un mot, trouvez des associations entre ce dernier et des cartes Dixit révélées aux yeux de tous. Pour marquer des points, choisissez les mêmes images que vos adversaires : plus vous en avez, mieux c’est. Il vous faudra prendre des risques pour l’emporter, mais ne tentez pas de monter trop haut dans les étoiles car plus lourde sera la chute ! À la fin du quatrième tour, le joueur avec le plus de points est désigné vainqueur. Prenez des risques calculés, mais attention à la chute !. ",https://www.libellud.com/wp-content/uploads/2022/03/STELLA_box_R_FR_72dpi.png
Biotopes,Palladis Games,"Dans Biotopes, vous devrez développer votre écosystème afin qu'il soit le plus vivant possible. Colonisez le paysage central, attirez des espèce animales et faites grossir leurs populations. Mais pour y parvenir, vous devrez aussi vous battre pour conserver votre espace vital. ",https://www.le-passe-temps.com/36054-medium_default/biotopes.jpg
Fauna,Atalia,"Saviez-vous qu'une girafe peut atteindre plus de 5 mètres de haut ? Que le Caïman Yacare ne pèse qu'environ 60 kg ? Et combien mesure la queue de l'ours polaire ? Voici le type de questions auxquelles il vous faudra répondre dans Fauna. Peur de ne pas tout savoir sur les 360 ​​animaux présents dans le jeu ? Pas d'inquiétude : même en restant approximatif, vous pouvez gagner des points. Par contre, pas sûr que vous remportiez la partie, si vous jouez chaque manche au bluff !",https://www.atalia-jeux.com/2840-large_default/fauna.jpg
Duos,Granna,Un jeu d'association d'idées avec des images. Pas de plastique !,https://www.atalia-jeux.com/img/cms/2023-01%20nvt%C3%A9s/duos.png
Aetherya,Nostromo Editions,"Dans Aetherya, chaque joueur va explorer des contrées inconnues, édifier un royaume peuplé de créatures et de paysages divers. Il s’efforcera d’agencer au mieux les éléments de son royaume afin d’obtenir l’accord parfait et marquer le plus de « points d’harmonie » possible.",https://nostromo-editions.com/wp-content/uploads/2021/04/Cover.jpg
East India Companies,Atalia,Dans East India Companies essayez de faire fortune sur le marché des épices avec votre compagnie maritime européenne au XIXe siècle.,https://www.atalia-jeux.com/2938-large_default/eic-east-india-companies.jpg
OùCéDonc en France ?,Atalia,"Où peut bien se situer Évreux ? À l'est ou à l'ouest de Foix ? Et la Dune du Pilat, au nord ou au sud ? Si vous connaissez bien la carte de France, vous n'aurez aucune difficulté à placer les lieux les uns par rapport aux autres. Sinon, voilà une façon amusante de découvrir la France ! Oucédonc mélange connaissances, bluff et prise de risque. Si personne ne se rend compte que vous vous êtes trompé, rien n'est perdu !",https://www.atalia-jeux.com/2504-large_default/oucedonc-en-france.jpg
OùCéDonc en Europe ?,Atalia,"Dans Oùcédonc, vous devrez classer les cartes Lieu selon leur position géographique, sur un axe nord-sud ou est-ouest. Les joueurs gagnent des jetons en se trompant le moins souvent et en décelant les erreurs commises par leurs adversaires.",https://www.atalia-jeux.com/2864-large_default/ouc%C3%A9donc-en-europe.jpg
Ensemble,Atalia,"Dans Ensemble, tous les joueurs doivent voter - sans communiquer - pour l'une des cartes exposées qui, selon eux, correspond le mieux à une carte placée au centre de la table. Coopérez pour atteindre votre objectif: le niveau 9.",https://www.atalia-jeux.com/2839-large_default/ensemble.jpg
Overbooking,Huch & Friends !,"Essayez de trouver une chambre d’hôtel pour un maximum de vos invités. Pour cela, vous devrez planifier habilement les cartes que vous voulez placer directement dans la file d’attente (pour qu’elles puissent réserver une chambre) et celles que vous placez à la porte de derrière (pour en activer les pouvoirs spéciaux : changer la capacité d'accueil de l'hôtel, modifier l'ordre dans la file d'attente...). S’il y a trop de clients, l’hôtel est surbooké et il n’y a plus de place !",https://www.atalia-jeux.com/2823-large_default/overbooking.jpg
Shogun No Katana,Placentia Games,"Shogun no Katana est un jeu de gestion stratégique dans l'atmosphère fascinante du Japon féodal. Le cœur du jeu est ce travail à la forge. Les épées en préparation doivent passer par plusieurs ateliers (travail du métal, du cuir, du bois et/ou laquage) successifs, selon ce qu'indique la tuile Katana. Ces ateliers sont répartis dans une grille dont on active une rangée ou une colonne entière pour travailler sur différents Katanas en même temps. À chaque activation, il faut avoir en stock la ressource nécessaire, puis bouger la tuile Katana jusqu'au prochain atelier. Mais attention ! Si avoir beaucoup de Katanas sur la grille permet d'activer plusieurs ateliers en une seule action, cela augmente aussi le risque qu'ils se gênent les uns les autres et ne progressent pas avec fluidité d'une étape à l'autre. Il faut donc soigneusement planifier chaque étape pour optimiser chacun de ses tours",https://www.atalia-jeux.com/2548-large_default/shogun-no-katana.jpg
Federation,Explor8,"L'univers est organisé en de nombreuses fédérations qui commercent, intriguent, se développent... L'une de ces fédérations, qui n'est pas encore totalement développée (5 planètes membres pour l'instant) souhaite qu'une nouvelle délégation la rejoigne, mais vous n'êtes pas le seul à avoir des vues sur la fédération. La Fédération vous met au défi de prouver votre valeur pendant 5 ans. Pendant ces 5 années, vous devrez développer des stratégies, déployer des tactiques, saisir les meilleures opportunités mais aussi former les bonnes alliances au bon moment... Au final, une seule délégation sera choisie : celle qui aura le plus de prestige !",https://explor8.com/wp-content/uploads/2021/08/Kickstarter_Couv.png
Federation,Explor8,"L'univers est organisé en de nombreuses fédérations qui commercent, intriguent, se développent... L'une de ces fédérations, qui n'est pas encore totalement développée (5 planètes membres pour l'instant) souhaite qu'une nouvelle délégation la rejoigne, mais vous n'êtes pas le seul à avoir des vues sur la fédération. La Fédération vous met au défi de prouver votre valeur pendant 5 ans. Pendant ces 5 années, vous devrez développer des stratégies, déployer des tactiques, saisir les meilleures opportunités mais aussi former les bonnes alliances au bon moment... Au final, une seule délégation sera choisie : celle qui aura le plus de prestige !",https://explor8.com/wp-content/uploads/2021/08/Kickstarter_Couv.png
Colorado,Sylex Edition,"Vous Explorez l'Ouest américain avec un feutre et des carte pour tout équipement. Appelez les bonnes cartes et faites les meilleurs enchainements, équipez vos personnages avec leur outil et leur moyen de transport préféré pour vous ouvrir les portes d nouvelles régions et ainsi garantir le succès de vos expéditions !",https://i0.wp.com/sylex-edition.fr/wp-content/uploads/2022/12/Colorado.png?resize=300%2C300&ssl=1
Colorado,Sylex Edition,"Vous Explorez l'Ouest américain avec un feutre et des carte pour tout équipement. Appelez les bonnes cartes et faites les meilleurs enchainements, équipez vos personnages avec leur outil et leur moyen de transport préféré pour vous ouvrir les portes d nouvelles régions et ainsi garantir le succès de vos expéditions !",https://i0.wp.com/sylex-edition.fr/wp-content/uploads/2022/12/Colorado.png?resize=300%2C300&ssl=1
Akropolis,Gigamic,"Akropolis est un jeu de stratégie simple avec des éléments en 3D, où vous devrez gagner du prestige en construisant les meilleures cités au cœur de l'antique Méditerranée.",https://cdn2.philibertnet.com/571750-large_default/akropolis.jpg
La Colline aux Feux Follets,Gigamic,"Dans La Colline aux Feux Follets, il faudra arriver en bas de la colline avant les sorcières en vous laissant guider par les feux follets: faites glisser vos billes de façon à ce qu'elles touchent les apprentis et leur montrent le chemin.",https://cdn2.philibertnet.com/545216-large_default/la-colline-aux-feux-follets.jpg
Revelio,Gigamic,"Dans Revelio, les joueurs vont incarner un personnage d’un univers spécifique : médiéval-fantastique, époque victorienne ou contemporaine, exerçant une activité précise et gardant un secret bien particulier. A chacun des 5 tours, les joueurs répondront tous à la même question comme le ferait leur personnage, en dévoilant quelques indices sur leur personnalité, afin que les autres finissent par découvrir qui ils sont. Mais pas tous, sinon, le joueur ne marque pas de points. Et lui-même doit trouver l’identité des autres, métier et secret, pour ajouter des points qui lui permettront de remporter la victoire !",https://cdn3.philibertnet.com/566051-large_default/revelio.jpg
Qawale,Gigamic,"Alignez vos galets ! Simple et tactique à la fois, Qawale trouve son inspiration dans les piles de galets que l'on trouve au bord des chemins. À l'image de ces pierres qui voyagent, placez un galet au sommet d'une pile avant de l'égrener sur les cases du plateau. Formez une ligne de 4 galets de votre couleur pour remporter la partie.",https://cdn3.philibertnet.com/555256-large_default/qawale.jpg
Phantom Ink,Gigamic,"Chacun son tour, le fantôme de l'équipe donne des indices en répondant à une question secrète: il inscrit lettre à lettre sur le Bloc d'écriture le mot avant d'être stoppé par ses médiums le plus tôt possible pour ne pas donner d'indications à l'équipe adverse. La première équipe à trouver le mot mystère remporte la partie!",https://cdn1.philibertnet.com/571573-large_default/phantom-ink.jpg
Triqueta,Gigamic,"Collectionnez des séries de jetons d'animaux mystiques et formez des triquetas parfaites ! Dans Triqueta, le but du jeu est d'obtenir le plus de points en formant des ensembles de  3 tuiles identiques appelées 'Triqueta'. On décide donc du moment idéal pour quitter la manche en ramassant une rangée de tuiles, mais attention, certaines rangées vous feront ramasser des tuiles qui ne vous intéressent pas ou qui vous donneront des points négatifs en fin de partie... Choisissez judicieusement!",https://cdn1.philibertnet.com/571438-large_default/triqueta.jpg
Evergreen,Gigamic,"Evergreen est un jeu de stratégie abstrait pour 1 à 4 joueurs par Hjalmar Hach, concepteur du jeu primé Photosynthésis, où votre objectif est de construire un écosystème luxuriant, en plantant des graines, en faisant pousser des arbres et en plaçant d'autres éléments naturels sur votre planète, en essayant d'en faire la plus verte et la plus fertile de toutes.",https://cdn2.philibertnet.com/568893-large_default/evergreen.jpg
Cosy Casa,Gigamic,"Vous venez d'emmener chez vous votre nouvelle étagère et il est maintenant temps d'y placer vos objets préférés : livres, jeux de société, portraits... Qui présentera la bibliothèque la mieux organisée ?",https://cdn2.philibertnet.com/566834-large_default/cosy-casa.jpg
Sur le Fil,Gigamic,Placez correctement les oiseaux sur le fil pour prendre le plus beau selfie possible ! Tout le monde aime se prendre en selfie… et les oiseaux ne font pas exception ! Les voici qui sautillent joyeusement de fil en fil avant d'immortaliser leurs poses au travers de photos souvenir délirantes. Aide-les à reproduire les figures demandées ,https://cdn2.philibertnet.com/566830-large_default/sur-le-fil.jpg
6 Qui Prend Junior,Gigamic,"Les enfants conduisent les animaux dans les bâtiments de la ferme. Chaque fois qu'un joueur parvient à placer une 6ème espèce animale dans une ferme, il gagne toutes les cartes de la ferme en récompense. Qui sera le meilleur gardien de la ferme?",https://cdn3.trictrac.net/documents/formats/thumb_300_300/documents/originals/ce/7b/e6ca12525d708743ebae9a594aea14184bcb.jpeg
[Kosmopoli:t] - Deuxième Service,Jeux Opla,Le restaurant le plus cosmopolite du monde est toujours (plus) ouvert avec désormais 100 langues et dialectes et 3 nouveaux menus : Petits chefs : Les enfants veulent cuisiner ? Une toque sur chaque tête ! / Grands chefs : Des plats plus élaborés ? Il faut désormais plusieurs Cuistots pour les préparer… / Boisson comprise : Quelle boisson pour quel plat ? Tous les rôles sont chahutés par un simple verre !,https://cdn2.philibertnet.com/556687-large_default/-kosmopoli-t-deuxieme-service.jpg
Apocalypse au zoo de Carson City,Jeux Opla,"Entrez dans l'univers de la bande dessinée de Guillaume Griffon… Au cours de la partie, l'ambiance se tend et vos choix seront capitaux pour vous sortir de là. Vos personnages mutent en zombies, et les animaux de fortes valeurs disparaissent sous les attaques de vos adversaires.",https://cdn3.philibertnet.com/381516-large_default/apocalypse-au-zoo-de-carson-city.jpg
Cartzzle - La Nuit Etoilée,Jeux Opla,"Cartzzle est un nouveau concept de jeu de société contenant un jeu, une oeuvre d'art et des énigmes. Composez cette interprétation graphique de Pauline Détraz, puis refaites-la en relevant des défis.",https://cdn3.philibertnet.com/552145-large_default/cartzzle-la-nuit-etoilee.jpg
Cartzzle - Labyrinthe : Champs Dessus Dessous,Jeux Opla,"Cartzzle est un nouveau concept de jeu de société contenant un jeu, une oeuvre d'art et des énigmes. Composez cette interprétation graphique de Pauline Détraz, puis refaites-la en relevant des défis.",https://cdn3.philibertnet.com/552147-large_default/cartzzle-labyrinthe-champs-dessus-dessous.jpg
Cartzzle - Foules,Jeux Opla,"Cartzzle est un nouveau concept de jeu de société contenant un jeu, une oeuvre d'art et des énigmes. Composez cette interprétation graphique de Pauline Détraz, puis refaites-la en relevant des défis.",https://cdn1.philibertnet.com/552143-large_default/cartzzle-foules.jpg
Mille Fiori,Schmidt Spiele,"Dans Mille Fiori, vous jouez le rôle de fabricants et de négociants en verre qui veulent profiter au maximum de leur rôle dans la production de l'art du verre.",https://cdn1.philibertnet.com/531472-large_default/mille-fiori.jpg
Le Grand Prix de Belcastel,Schmidt Spiele,"Le Grand Prix de Belcastel est un jeu de course familial , où vous devrez faire avancer votre animal en le nourrissant et ainsi tenter de remporter la course du chaudron d'or !",https://cdn3.philibertnet.com/537606-large_default/le-grand-prix-de-belcastel.jpg
Funfair,Lucky Duck Games,"Choissisez et construisez un mélange passionnant d’attractions dans votre propre parc à thème ! Améliorez vos attractions pour qu’elles correspondent aux plans ou simplement pour ériger des manèges imposants qui attirent les foules et rapportent le plus d’argent. Embauchez des membres du personnel et construisez de super attractions pour maximiser la stratégie de votre parc en vue de la victoire ! Avec une configuration et un gameplay rapides, Funfair est un jeu amusant et familial. Des objectifs faciles à complexes, de nombreuses cartes offrent de nombreux plans de jeu aux joueurs, qu’ils soient novices ou expérimentés.",https://cdn3.philibertnet.com/542598-large_default/funfair.jpg
Flamecraft,Lucky Duck Games,"Dans Flamecraft, 1 à 5 joueurs jouent le rôle des gardiens de flammes, rassemblant des objets, plaçant des dragons et lançant des enchantements pour améliorer les boutiques de la ville.",https://cdn1.philibertnet.com/555165-large_default/flamecraft.jpg
Suburbia,Lucky Duck Games,"Planifiez, construisez et développez votre petite ville en une grande métropole !  Utilisez des tuiles de construction hexagonales pour ajouter des zones résidentielles, commerciales, civiques et industrielles, ainsi que des points d’intérêt spéciaux qui offrent des avantages et tirent parti des ressources des villes voisines. Votre objectif est de faire prospérer votre arrondissement et de vous retrouver avec une population plus importante que n’importe lequel de vos adversaires.",https://cdn2.philibertnet.com/543568-large_default/suburbia.jpg
Le Roi des 12,Lucky Duck Games,Le Roi des 12 est un jeu de dés rapide et amusant dans lequel vous essayerez de vous emparer du trône. Affrontez les autres prétendants grâce à vos pierres à douze faces !,https://cdn1.philibertnet.com/498757-large_default/le-roi-des-12.jpg
Earth,Lucky Duck Games,"Earth est un jeu de construction de moteur dans lequel 1 à 5 joueurs ont pour objectif de créer des écosystèmes autosuffisants. Earth est un jeu aux règles simples, mais offrant de multiples possibilités stratégiques.",https://cdn3.philibertnet.com/564233-large_default/earth.jpg
Bagarre !,Benjamin Roucayrol,Vous êtes à la tête d’une des 3 coopératives agricoles qui nourrit notre bonne vieille France. Votre but ? Devenir le leader sur le marché et arriver à écouler vos produits en premier.,https://benjaminroucayrol.com/wp-content/uploads/2020/11/Software_Box_Mockup_1-600x420.png
Randognon,Benjamin Roucayrol,"Comme son nom l’indique (pas trop), Randognon est un jeu de randonnée (pas trop) mignon ou le but est d'arriver vivant.",https://benjaminroucayrol.com/wp-content/uploads/2021/05/Randognon-boite-300x244.png
Zoo-en-Boîte,Smart Games,"Jouons à cache-cache avec les animaux du zoo… Après avoir choisi un défi, il nous faudra empiler les cubes de telle manière que seuls les animaux demandés apparaissent face à nous. « Zoo en Boîte » est un jeu de manipulation et d’observation pour les petits qui intègre les notions de couleurs, de formes, de perspective, d'intérieur et d’extérieur. Fabriqué à partir de pièces en carton fort, ce jeu trouvera sa place dans toutes les chambres d’enfants.",https://cdn3.philibertnet.com/559691-large_default/zoo-en-boite.jpg
Safari Photo,Smart Games,"Trois, deux, un… on ne bouge plus ! Safari Photo est un jeu de logique dans lequel il faudra disposer trois animaux de façon à reproduire un cadre de photo donné ! Rappelez-vous que le lion n’aime pas l’eau, l’éléphant ne peut pas passer entre les rochers et les girafes sont trop grandes pour passer sous les arbres. Un jeu d’apprentissage deux en un pour les petits qui leur proposera soit de déplacer les animaux dans la savane selon leur imagination, soit de résoudre les défis proposés. « Safari Photo » est un jeu pour appréhender les formes, ainsi que les notions de dessus, dessous, derrière, devant, à droite, à gauche… Observez les formes des pieds de jeu et suivez le chemin !",https://d32bxxnq6qs937.cloudfront.net/sites/default/files/SG_SafariParkJr_PDPbanner-FR.jpg
Chats Tournent en Rond,Smart Games,"Les chats adorent se cacher dans des boîtes en carton ! Déplacez les pièces de jeu l'une après l'autre jusqu'à ce que chaque chat soit dans un carton ! Arriverez-vous à trouver un coin douillet pour chacun des chats ? Un jeu de mouvement séquentiel pour petits et grands, dans un format pratique pour l'emporter partout.",https://d32bxxnq6qs937.cloudfront.net/sites/default/files/GBS_Cats%26Boxes_PDPbanner-FR_0.jpg
Parc'Ours en Forêt,Smart Games,"Faites tourner les sapins, petits et grands, pour déplacer les figurines des personnages et des animaux afin de les aider à rejoindre leurs parents ou leur habitat. Cependant, faites attention, seul l'ourson pourra approcher maman ourse sans danger ! Découvrez une subtile mécanique d’engrenages pour résoudre les 80 défis évolutifs du livret, de facile à difficile.",https://d32bxxnq6qs937.cloudfront.net/sites/default/files/SmartGames_SG-531_Grizzly-Gears_product-packaging_6cc1d1.jpg
La Cité d'Or,Smart Games,Explorez le vaste monde et partez à la recherche de la Cité d’Or cachée…,https://d32bxxnq6qs937.cloudfront.net/sites/default/files/SmartGames_SG-098_Treasure-Island_product-packaging_847a3e.jpg
IQ Circuit,Smart Games,Le jeu IQ Circuit contient 120 défis à réaliser où vous devrez être astucieux et placer toutes les pièces du puzzle sur le plateau de jeu pour réaliser des circuits.,https://d32bxxnq6qs937.cloudfront.net/sites/default/files/SmartGames_IQ-467_IQ-Circuit_product-packaging_9567e9.jpg
IQ Six Pro,Smart Games,Q Six Pro est un jeu de voyage compact idéal. Mettez votre logique et votre réflexion à rude épreuve en relevant cent défis de différents niveaux de complexité.,https://d32bxxnq6qs937.cloudfront.net/sites/default/files/SmartGames_SG-479_IQ-Six-Pro_product-packaging_97f9cc%20%281%29_3.jpg
IQ Love,Smart Games,IQ Love est un jeu de voyage compact idéal. Mettez votre logique et votre réflexion à rude épreuve en relevant cent défis de différents niveaux de complexité.,https://d32bxxnq6qs937.cloudfront.net/sites/default/files/SmartGames_SG-302_IQ-Love_product-packaging_2af93d_5.jpg
IQ Stixx,Smart Games,"IQ Stixx est un jeu de casse-têtes solo, proposant 120 défis à difficulté croissante.Empilez les bâtonnets colorés pour obtenir la bonne combinaison.",https://cdn2.philibertnet.com/545989-large_default/iq-stixx.jpg
Lex Go! Harry Potter,Winning Moves,"Créez des mots, modifiez ceux de vos adversaires utilisez des sorts issus de l'univers Harry Potter et criez 'Lex Go !' lorsque vous n’avez plus de lettres !",https://cdn3.philibertnet.com/484347-large_default/lexicon-go-harry-potter.jpg
Lex Go! Disney,Winning Moves,Entrez dans l'univers Disney et débarrassez-vous de toutes vos lettres le plus rapidement possible avec ce jeu de lettres nomade et amusant !,https://cdn.shopify.com/s/files/1/0620/9254/2115/products/21849.jpg?v=1664671957&width=823
Top Trumps Battle Mat Harry Potter,Winning Moves,"Jouez avec vos héros favoris de la saga Harry Potter dans ce Battle Map Top Trumps Harry Potter. Plongez dans le monde magique d’Harry Potter et rejoignez tous vos héros préférés dans une série de duels stratégiques. Le jeu Battle Map Top Trumps Harry Potter se joue en plusieurs manches, c’est le premier joueur qui remporte 6 duels qui sera désigné le grand vainqueur !",https://www.winningmoves.fr/wp-content/uploads/5036905044592_1-300x300.jpg
Top Trumps Battle Mat Miraculous,Winning Moves,"Dans Top Trumps, l’objectif du jeu est de récupérer toutes les cartes de ses adversaires en choisissant sa meilleure caractéristique des personnages de Miraculous Ladybug.",https://cdn1.philibertnet.com/482259-large_default/top-trumps-miraculous.jpg
Le Jeu des Cochons,Winning Moves,"Que ce soit avec des amis à une fête, dans le parc, pendant un trajet en train ou en vacances : Le jeu des Cochons est le jeu marrant à jouer sur le chemin ou à la maison et toujours prêt pour un grognement de rire !",https://cdn1.philibertnet.com/421635-large_default/jeu-de-cochon-big-pigs.jpg
Narcopolis,Open World Editions,"Deals de business, fights clubs, financements occultes de politiciens, assassinats et corruptions sont parmi les nombreuses actions possibles à Narcopolis. Dans ce jeu de stratégie, de bluff, et de de développement de ressources, tout est permis pour régler ses comptes avec ses amis. Tu as toujours rêvé d’être un gangster et de ne plus avoir de limites ? Narcopolis est ton nouveau terrain de jeu ! Plonge dans le grand bain, sois malin, diplomate, fourbe, sans pitié, et deviens le nouveau Boss de la ville. N'oublie jamais : Sky and guns are the limits.",https://openworldeditions.com/wp-content/uploads/2020/02/narco-1.jpg
Ethérium,Les éditions du Crapaud Céleste,Etherium est une planète qui renferme en son sein une ressource précieuse: l'Ether. Cette substance permet de remodeler la gravité et attise bien de convoitise. Six lunes gravitent autour d'Etherium. Chacune d'elle abrite un peuple unique qui compte bien prendre le contrôle du précieux Ether.  L'équilibre était jusqu'ici maintenu mais tout s'apprête à  basculer.,https://www.crapaudceleste.com/images/ehterium/Harmoniques_2_petit.jpg
Trio,Cocktail Games,"Trio est un jeu de cartes, simple et rapide, dans lequel vous devrez trouver les trios de cartes identiques parmi celles en jeu et dans les mains de vos adversaires.",https://cdn2.philibertnet.com/570387-large_default/trio.jpg
Happy City - Grozilla,Cocktail Games,Happy City - Grozilla est une extension pour le jeu Happy City. Des monstres envahissent votre ville et vont bouleverser son développement !,https://cdn3.philibertnet.com/567017-large_default/happy-city-grozilla.jpg
Super Mega Lucky Box,Cocktail Games,"Un jeu trépidant d'un plaisir sans égal ! Dévoilez les chiffres un par un, et rayez les cases correspondantes sur vos cartes. Si vous en obtenez trois à la suite, vous débloquerez des bonus qui vous permettront de rayer plus de cases, de déclencher des bonus encore plus importants et d'augmenter votre score ! Tout le monde joue en même temps, alors on ne s'ennuie jamais ! Pour gagner, il vous faudra un peu de stratégie et un peu de Super Mega Chance ! Un jeu simple, gratifiant et super fun !",https://cdn1.philibertnet.com/552782-large_default/super-mega-lucky-box.jpg
Maudit Mot Dit,Cocktail Games,"Maudit Mot Dit est un jeu dans lequel vous allez devoir faire deviner un mot en un nombre d'indices imposé ! Mais attention à ce qu'il ne soit pas deviné trop vite, ou pas deviné du tout ! Un jeu très malin dans une magnifique petite boite.",https://cdn1.philibertnet.com/542983-large_default/maudit-mot-dit.jpg
Mimtoo Pop Culture,Cocktail Games,"Mimez et bruitez des phrases uniques et détonantes, en mélangeant les personnages et les actions ! 100% clins d’œil pop culture : Yoda qui est sapé comme jamais… Un gremlin qui a les yeux couleur menthe à l’eau… Des centaines de références hilarantes à retrouver !",https://cdn1.philibertnet.com/553641-large_default/mimtoo-pop-culture.jpg
Inflexibles : Afrique du Nord,Nut’s Publishing ,"Dans Inflexibles : Afrique du Nord vous commandez un groupe de spécialiste de la guerre du désert ou une unité de l’armée italienne conventionnelle. Au travers d’une série de mission, vous devrez lutter pour prendre, tenir ou détruire des objectifs stratégiques.",https://cdn3.philibertnet.com/555436-large_default/inflexibles-afrique-du-nord.jpg
